id_plato,nombre,precio
1,bertie_botts,12.50
2,ensalada de quinoa con verduras,8.75
3,filete de ternera a la plancha,16.20
4,sushi,14.80
5,gazpacho andaluz,6.90
6,crema de calabaza,5.75
7,arroz frito con verduras,9.30
8,sopa de miso,7.40
9,pollo al curry,10.25
10,tacos al pastor,11.90
11,tortilla de patatas,7.60
12,pizza Margarita,8.95
13,ceviche,12.10
14,fideuá,10.75
15,lasagna,9.80
16,salmón a la plancha con verduras,15.60
17,churros con chocolate,6.20
18,pasta carbonara,8.30
19,risotto de setas,11.45
20,hamburguesa de ternera,13.75
21,crema de tomate,6.50
22,spaghetti a la boloñesa,9.90
23,paella de marisco,14.25
24,helado de chocolate,4.75
25,fruta de temporada,3.50
